# id edge_type num_tiles farm_connection city_connection road_connection has_cloister has_pennant
0 ffff 4 111111110 0000 0000 1 0
1 ffrf 2 111111110 0000 0010 1 0
2 cfff 5 001111110 1000 0000 0 0
3 crrf 3 001221110 1000 0110 0 0
4 cfrr 3 001112210 1000 0011 0 0
5 crfr 4 001222210 1000 0101 0 0
6 crrr 3 001223310 1000 0123 0 0
7 fcfc 3 001100110 0102 0000 0 0
8 cffc 2 001111000 1002 0000 0 0
9 fcfc 2 110022000 0101 0000 0 1
10 fcfc 1 110022000 0101 0000 0 0
11 cffc 3 001111000 1001 0000 0 0
12 cffc 2 001111000 1001 0000 0 1
13 crrc 3 001221000 1001 0110 0 0
14 crrc 2 001221000 1001 0110 0 1
15 ccfc 3 000011000 1101 0000 0 0
16 ccfc 1 000011000 1101 0000 0 1
17 ccrc 2 000012000 1101 0010 0 1
18 ccrc 1 000012000 1101 0010 0 0
19 cccc 1 000000000 1111 0000 0 1
20 ffrr 9 111112210 0000 0011 0 0
21 frfr 8 111222210 0000 0101 0 0
22 frrr 4 111223310 0000 0123 0 0
23 rrrr 1 122334410 0000 1234 0 0
